City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,hammerfest,70.6634,23.6821,21.25,68,40,4.63,NO,1691038578
322,hithadhoo,-0.6,73.0833,27.52,73,52,3.35,MV,1691038579
323,tvoroyri,61.5556,-6.8111,10.49,95,100,6.92,FO,1691038579
324,cabedelo,-6.9811,-34.8339,23.37,84,62,6.91,BR,1691038580
325,pacifica,37.6138,-122.4869,17.35,91,20,6.26,US,1691038561
326,takab,36.4009,47.1133,27.45,20,0,1.11,IR,1691038582
327,mahibadhoo,3.7833,72.9667,27.75,72,50,2.02,MV,1691038582
328,nova xavantina,-14.6667,-52.35,21.53,39,0,1.02,BR,1691038583
329,kruisfontein,-34.0033,24.7314,11.94,36,1,4.65,ZA,1691038583
330,fuerte olimpo,-21.0415,-57.8738,22.31,39,0,2.3,PY,1691038584
331,enoch,37.7733,-113.0244,18.41,68,0,3.09,US,1691038585
332,izazi,-7.2,35.7333,20.96,55,79,2.89,TZ,1691038586
333,ambovombe,-25.1667,46.0833,19.37,59,86,7.28,MG,1691038587
334,tofol,5.3248,163.0078,28.78,73,11,3.32,FM,1691038587
335,jaguaribe,-5.8906,-38.6219,23.64,79,48,0.68,BR,1691038588
336,rikaze,29.25,88.8833,20.23,39,69,0.61,CN,1691038589
337,palanga,55.9175,21.0686,18.01,77,100,5.14,LT,1691038545
338,lisakovsk,52.5369,62.4936,23.35,61,92,3.81,KZ,1691038590
339,merizo village,13.2658,144.6691,30.85,94,100,2.55,GU,1691038591
340,kisangani,0.5167,25.2,21.54,98,98,1.51,CD,1691038592
341,mugia,43.1041,-9.2179,14.39,77,50,6.04,ES,1691038592
342,elva,58.2225,26.4211,16.79,98,100,3.09,EE,1691038594
343,mana,5.6592,-53.7767,25.34,89,66,3.74,GF,1691038594
344,longyearbyen,78.2186,15.6401,9.91,81,75,2.57,SJ,1691038595
345,ghat,24.9647,10.1728,30.0,17,0,3.27,LY,1691038595
346,sabang,5.8933,95.3214,28.52,74,100,10.0,ID,1691038596
347,formosa do rio preto,-11.0483,-45.1931,20.97,65,46,1.87,BR,1691038596
348,murzuq,25.9155,13.9184,27.43,22,0,3.47,LY,1691038597
349,port saint john's,-31.6229,29.5448,13.74,55,0,3.06,ZA,1691038598
350,tainan,22.9908,120.2133,31.95,66,75,4.12,TW,1691038598
351,egilsstadir,65.2653,-14.3948,6.95,93,75,1.54,IS,1691038599
352,grand island,40.925,-98.342,24.16,90,0,1.54,US,1691038447
353,dunedin,-45.8742,170.5036,11.0,72,78,1.34,NZ,1691038491
354,pacific grove,36.6177,-121.9166,15.13,88,75,3.09,US,1691038600
355,eaglehawk,-36.7333,144.25,19.2,46,20,1.34,AU,1691038601
356,sao jose,-28.2333,-49.1667,16.06,76,2,1.18,BR,1691038602
357,enewetak,11.3474,162.3373,28.75,77,87,4.99,MH,1691038602
358,chanika,-5.4167,38.0167,18.51,86,99,3.04,TZ,1691038603
359,prainha,-1.8,-53.48,24.24,74,31,1.27,BR,1691038603
360,vorgashor,67.5833,63.95,24.46,55,4,3.39,RU,1691038604
361,nuuk,64.1835,-51.7216,6.49,86,93,3.02,GL,1691038604
362,morinville,53.8001,-113.652,18.82,86,100,4.12,CA,1691038605
363,sitka,57.0531,-135.33,16.94,77,75,1.54,US,1691038455
364,almeirim,-1.5233,-52.5817,24.38,76,13,1.39,BR,1691038606
365,bode saadu,8.9333,4.7833,23.44,88,99,3.04,NG,1691038607
366,pisco,-13.7,-76.2167,19.03,77,100,3.09,PE,1691038607
367,tevriz,57.509,72.4042,21.81,80,92,0.57,RU,1691038608
368,izberbash,42.5696,47.8645,30.05,51,62,7.58,RU,1691038608
369,hachenburg,50.65,7.8333,15.52,93,100,8.23,DE,1691038609
370,linxia chengguanzhen,35.6003,103.2064,28.54,42,3,2.49,CN,1691038610
371,navasota,30.388,-96.0877,32.25,72,2,5.44,US,1691038510
372,gobabis,-22.45,18.9667,8.68,72,2,7.35,NA,1691038611
373,vernon,50.2581,-119.2691,26.2,25,17,1.03,CA,1691038339
374,huangmei,30.1924,116.025,34.61,58,100,2.48,CN,1691038612
375,el granada,37.5027,-122.4694,18.04,86,100,5.66,US,1691038612
376,yanchep,-31.55,115.6833,15.63,53,47,4.59,AU,1691038613
377,al ghayzah,16.2079,52.176,28.68,74,25,2.3,YE,1691038614
378,isangel,-19.55,169.2667,22.06,88,100,2.57,VU,1691038615
379,pacocha,-17.5833,-71.3333,15.73,86,32,0.78,PE,1691038615
380,weihai,37.5017,122.1136,32.1,57,28,5.64,CN,1691038616
381,irtyshsk,53.3333,75.4572,27.21,44,95,1.58,KZ,1691038616
382,dabrowa bialostocka,53.6536,23.3479,16.88,65,100,5.43,PL,1691038617
383,georgievka,49.3314,81.5761,29.85,35,7,4.62,KZ,1691038617
384,hafar al-batin,28.4328,45.9708,35.32,11,0,4.12,SA,1691038618
385,hamilton,39.1834,-84.5333,22.64,81,75,2.06,US,1691038394
386,dayr hafir,36.1569,37.7078,27.03,60,0,6.83,SY,1691038619
387,baijiantan,45.6333,85.1833,34.51,22,82,2.76,CN,1691038620
388,wellington,-41.2866,174.7756,9.81,78,84,12.35,NZ,1691038153
389,la ronge,55.1001,-105.2842,16.14,82,40,0.51,CA,1691038621
390,codrington,-38.2667,141.9667,16.74,64,76,9.52,AU,1691038622
391,fisterra,42.9049,-9.2629,14.3,76,51,6.31,ES,1691038623
392,st. paul,44.9444,-93.0933,26.76,85,0,1.54,US,1691038417
393,sibut,5.718,19.0739,21.29,99,100,2.67,CF,1691038624
394,vorkuta,67.5,64.0,24.53,56,5,3.19,RU,1691038624
395,al mijlad,11.0333,27.7333,23.79,83,77,3.9,SD,1691038625
396,sinabang,2.4803,96.3801,29.46,66,83,1.37,ID,1691038626
397,southeast arcadia,27.1863,-81.8521,26.01,100,52,3.01,US,1691038627
398,guerrero negro,27.9769,-114.0611,20.54,87,8,6.39,MX,1691038627
399,necochea,-38.5473,-58.7368,6.92,54,55,4.16,AR,1691038628
400,north kingstown,41.5501,-71.4662,19.84,76,0,2.57,US,1691038628
